Time,Temp,RH,Pres,CO2,Gas,PM1,PM25,PM10
2024_05_16 - 06:59:24 PM, 0.00, 0.00, 871.69, 0.00, 25.50, 0, 8, 40
2024_05_16 - 06:59:33 PM, 0.00, 0.00, 871.69, 0.00, 25.50, 0, 8, 40
2024_05_16 - 06:59:36 PM, 0.00, 0.00, 871.69, 0.00, 25.50, 0, 8, 40
2024_05_16 - 06:59:39 PM, 0.00, 0.00, 871.69, 0.00, 25.50, 0, 8, 40
2024_05_16 - 06:59:40 PM, 0.00, 0.00, 871.69, 0.00, 25.45, 0, 8, 40
2024_05_16 - 06:59:42 PM, 0.00, 0.00, 871.69, 0.00, 25.45, 0, 8, 40
2024_05_16 - 06:59:50 PM, 0.00, 0.00, 871.69, 0.00, 25.45, 0, 8, 40
2024_05_16 - 06:59:54 PM, 0.00, 0.00, 871.69, 0.00, 25.45, 0, 8, 40
2024_05_16 - 06:59:57 PM, 0.00, 0.00, 871.69, 0.00, 25.45, 0, 8, 40
2024_05_16 - 06:59:58 PM, 0.00, 0.00, 871.64, 0.00, 25.44, 0, 8, 40
2024_05_16 - 07:00:00 PM, 0.00, 0.00, 871.64, 0.00, 25.44, 0, 8, 40
2024_05_16 - 07:00:08 PM, 0.00, 0.00, 871.64, 0.00, 25.44, 0, 8, 40
2024_05_16 - 07:00:11 PM, 0.00, 0.00, 871.64, 0.00, 25.44, 0, 8, 40
2024_05_16 - 07:00:14 PM, 0.00, 0.00, 871.64, 0.00, 25.44, 0, 8, 40
2024_05_16 - 07:00:15 PM, 0.00, 0.00, 871.61, 0.00, 25.42, 0, 8, 40
2024_05_16 - 07:00:17 PM, 0.00, 0.00, 871.61, 0.00, 25.42, 0, 8, 40
2024_05_16 - 07:00:26 PM, 0.00, 0.00, 871.61, 0.00, 25.42, 0, 8, 40
2024_05_16 - 07:00:29 PM, 0.00, 0.00, 871.61, 0.00, 25.42, 0, 8, 40
2024_05_16 - 07:00:32 PM, 0.00, 0.00, 871.61, 0.00, 25.42, 0, 8, 40
2024_05_16 - 07:00:33 PM, 0.00, 0.00, 871.67, 0.00, 25.48, 0, 8, 40
2024_05_16 - 07:00:35 PM, 0.00, 0.00, 871.67, 0.00, 25.48, 0, 8, 40
2024_05_16 - 07:00:44 PM, 0.00, 0.00, 871.67, 0.00, 25.48, 0, 8, 40
2024_05_16 - 07:00:47 PM, 0.00, 0.00, 871.67, 0.00, 25.48, 0, 8, 40
2024_05_16 - 07:00:50 PM, 0.00, 0.00, 871.67, 0.00, 25.48, 0, 8, 40
2024_05_16 - 07:00:51 PM, 0.00, 0.00, 871.59, 0.00, 25.57, 0, 8, 40
2024_05_16 - 07:00:53 PM, 0.00, 0.00, 871.59, 0.00, 25.57, 0, 8, 40
2024_05_16 - 07:01:02 PM, 0.00, 0.00, 871.59, 0.00, 25.57, 0, 8, 40
2024_05_16 - 07:01:05 PM, 0.00, 0.00, 871.59, 0.00, 25.57, 0, 8, 40
2024_05_16 - 07:01:08 PM, 0.00, 0.00, 871.59, 0.00, 25.57, 0, 8, 40
2024_05_16 - 07:01:09 PM, 0.00, 0.00, 871.59, 0.00, 25.51, 0, 8, 40
2024_05_16 - 07:01:11 PM, 0.00, 0.00, 871.59, 0.00, 25.51, 0, 8, 40
2024_05_16 - 07:01:20 PM, 0.00, 0.00, 871.59, 0.00, 25.51, 0, 8, 40
2024_05_16 - 07:01:23 PM, 0.00, 0.00, 871.59, 0.00, 25.51, 0, 8, 40
2024_05_16 - 07:01:26 PM, 0.00, 0.00, 871.59, 0.00, 25.51, 0, 8, 40
2024_05_16 - 07:01:27 PM, 0.00, 0.00, 871.52, 0.00, 25.67, 0, 8, 40
2024_05_16 - 07:01:29 PM, 0.00, 0.00, 871.52, 0.00, 25.67, 0, 8, 40
2024_05_16 - 07:01:38 PM, 0.00, 0.00, 871.52, 0.00, 25.67, 0, 8, 40
2024_05_16 - 07:01:41 PM, 0.00, 0.00, 871.52, 0.00, 25.67, 0, 8, 40
2024_05_16 - 07:01:44 PM, 0.00, 0.00, 871.52, 0.00, 25.67, 0, 8, 40
2024_05_16 - 07:01:45 PM, 0.00, 0.00, 871.64, 0.00, 25.79, 0, 10, 40
2024_05_16 - 07:01:47 PM, 0.00, 0.00, 871.64, 0.00, 25.79, 0, 10, 40
2024_05_16 - 07:01:55 PM, 0.00, 0.00, 871.64, 0.00, 25.79, 0, 10, 40
2024_05_16 - 07:01:58 PM, 0.00, 0.00, 871.64, 0.00, 25.79, 0, 10, 40
2024_05_16 - 07:02:02 PM, 0.00, 0.00, 871.64, 0.00, 25.79, 0, 10, 40
2024_05_16 - 07:02:03 PM, 0.00, 0.00, 871.70, 0.00, 25.65, 0, 8, 40
2024_05_16 - 07:02:05 PM, 0.00, 0.00, 871.70, 0.00, 25.65, 0, 8, 40
2024_05_16 - 07:02:13 PM, 0.00, 0.00, 871.70, 0.00, 25.65, 0, 8, 40
2024_05_16 - 07:02:16 PM, 0.00, 0.00, 871.70, 0.00, 25.65, 0, 8, 40
2024_05_16 - 07:02:19 PM, 0.00, 0.00, 871.70, 0.00, 25.65, 0, 8, 40
2024_05_16 - 07:02:20 PM, 0.00, 0.00, 871.58, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:02:22 PM, 0.00, 0.00, 871.58, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:02:31 PM, 0.00, 0.00, 871.58, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:02:34 PM, 0.00, 0.00, 871.58, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:02:37 PM, 0.00, 0.00, 871.58, 0.00, 25.79, 0, 8, 40
2024_05_16 - 07:02:38 PM, 0.00, 0.00, 871.68, 0.00, 25.70, 0, 8, 40
2024_05_16 - 07:02:40 PM, 0.00, 0.00, 871.68, 0.00, 25.70, 0, 8, 40
2024_05_16 - 07:02:49 PM, 0.00, 0.00, 871.68, 0.00, 25.70, 0, 8, 40
2024_05_16 - 07:02:52 PM, 0.00, 0.00, 871.68, 0.00, 25.70, 0, 8, 40
2024_05_16 - 07:02:55 PM, 0.00, 0.00, 871.68, 0.00, 25.70, 0, 8, 40
2024_05_16 - 07:02:56 PM, 0.00, 0.00, 871.62, 0.00, 25.77, 0, 8, 40
2024_05_16 - 07:02:58 PM, 0.00, 0.00, 871.62, 0.00, 25.77, 0, 8, 40
2024_05_16 - 07:03:07 PM, 0.00, 0.00, 871.62, 0.00, 25.77, 0, 8, 40
2024_05_16 - 07:03:10 PM, 0.00, 0.00, 871.62, 0.00, 25.77, 0, 8, 40
2024_05_16 - 07:03:13 PM, 0.00, 0.00, 871.62, 0.00, 25.77, 0, 8, 40
2024_05_16 - 07:03:14 PM, 0.00, 0.00, 871.63, 0.00, 25.79, 0, 8, 40
