Time,Temp,RH,Pres,CO2,Gas,PM1,PM25,PM10
2024_05_16 - 07:11:34 PM, 0.00, 0.00, 872.14, 0.00, 27.83, 0, 8, 40
2024_05_16 - 07:11:36 PM, 0.00, 0.00, 872.14, 0.00, 27.83, 0, 8, 40
2024_05_16 - 07:11:45 PM, 0.00, 0.00, 872.14, 0.00, 27.83, 0, 8, 40
2024_05_16 - 07:11:48 PM, 0.00, 0.00, 872.14, 0.00, 27.83, 0, 8, 40
2024_05_16 - 07:11:51 PM, 0.00, 0.00, 872.14, 0.00, 27.83, 0, 8, 40
2024_05_16 - 07:11:52 PM, 0.00, 0.00, 872.08, 0.00, 27.95, 0, 8, 40
2024_05_16 - 07:11:54 PM, 0.00, 0.00, 872.08, 0.00, 27.95, 0, 8, 40
2024_05_16 - 07:12:03 PM, 0.00, 0.00, 872.08, 0.00, 27.95, 0, 8, 40
2024_05_16 - 07:12:06 PM, 0.00, 0.00, 872.08, 0.00, 27.95, 0, 8, 40
2024_05_16 - 07:12:09 PM, 0.00, 0.00, 872.08, 0.00, 27.95, 0, 8, 40
2024_05_16 - 07:12:10 PM, 0.00, 0.00, 872.08, 0.00, 27.90, 0, 8, 40
2024_05_16 - 07:12:12 PM, 0.00, 0.00, 872.08, 0.00, 27.90, 0, 8, 40
2024_05_16 - 07:12:20 PM, 0.00, 0.00, 872.08, 0.00, 27.90, 0, 8, 40
2024_05_16 - 07:12:24 PM, 0.00, 0.00, 872.08, 0.00, 27.90, 0, 8, 40
2024_05_16 - 07:12:27 PM, 0.00, 0.00, 872.08, 0.00, 27.90, 0, 8, 40
2024_05_16 - 07:12:28 PM, 0.00, 0.00, 872.03, 0.00, 28.08, 0, 10, 42
2024_05_16 - 07:12:30 PM, 0.00, 0.00, 872.03, 0.00, 28.08, 0, 10, 42
2024_05_16 - 07:12:38 PM, 0.00, 0.00, 872.03, 0.00, 28.08, 0, 10, 42
2024_05_16 - 07:12:41 PM, 0.00, 0.00, 872.03, 0.00, 28.08, 0, 10, 42
2024_05_16 - 07:12:44 PM, 0.00, 0.00, 872.03, 0.00, 28.08, 0, 10, 42
2024_05_16 - 07:12:45 PM, 0.00, 0.00, 872.01, 0.00, 28.01, 0, 8, 40
2024_05_16 - 07:12:48 PM, 0.00, 0.00, 872.01, 0.00, 28.01, 0, 8, 40
2024_05_16 - 07:12:56 PM, 0.00, 0.00, 872.01, 0.00, 28.01, 0, 8, 40
2024_05_16 - 07:12:59 PM, 0.00, 0.00, 872.01, 0.00, 28.01, 0, 8, 40
2024_05_16 - 07:13:02 PM, 0.00, 0.00, 872.01, 0.00, 28.01, 0, 8, 40
2024_05_16 - 07:13:03 PM, 0.00, 0.00, 872.03, 0.00, 28.05, 0, 8, 40
2024_05_16 - 07:13:05 PM, 0.00, 0.00, 872.03, 0.00, 28.05, 0, 8, 40
2024_05_16 - 07:13:14 PM, 0.00, 0.00, 872.03, 0.00, 28.05, 0, 8, 40
2024_05_16 - 07:13:17 PM, 0.00, 0.00, 872.03, 0.00, 28.05, 0, 8, 40
2024_05_16 - 07:13:20 PM, 0.00, 0.00, 872.03, 0.00, 28.05, 0, 8, 40
2024_05_16 - 07:13:21 PM, 0.00, 0.00, 872.02, 0.00, 28.14, 0, 8, 40
2024_05_16 - 07:13:23 PM, 0.00, 0.00, 872.02, 0.00, 28.14, 0, 8, 40
2024_05_16 - 07:13:32 PM, 0.00, 0.00, 872.02, 0.00, 28.14, 0, 8, 40
2024_05_16 - 07:13:35 PM, 0.00, 0.00, 872.02, 0.00, 28.14, 0, 8, 40
2024_05_16 - 07:13:38 PM, 0.00, 0.00, 872.02, 0.00, 28.14, 0, 8, 40
2024_05_16 - 07:13:39 PM, 0.00, 0.00, 872.02, 0.00, 28.25, 0, 8, 40
2024_05_16 - 07:13:41 PM, 0.00, 0.00, 872.02, 0.00, 28.25, 0, 8, 40
2024_05_16 - 07:13:50 PM, 0.00, 0.00, 872.02, 0.00, 28.25, 0, 8, 40
2024_05_16 - 07:13:53 PM, 0.00, 0.00, 872.02, 0.00, 28.25, 0, 8, 40
2024_05_16 - 07:13:56 PM, 0.00, 0.00, 872.02, 0.00, 28.25, 0, 8, 40
2024_05_16 - 07:13:57 PM, 0.00, 0.00, 871.99, 0.00, 28.36, 0, 8, 40
2024_05_16 - 07:13:59 PM, 0.00, 0.00, 871.99, 0.00, 28.36, 0, 8, 40
2024_05_16 - 07:14:08 PM, 0.00, 0.00, 871.99, 0.00, 28.36, 0, 8, 40
2024_05_16 - 07:14:11 PM, 0.00, 0.00, 871.99, 0.00, 28.36, 0, 8, 40
2024_05_16 - 07:14:14 PM, 0.00, 0.00, 871.99, 0.00, 28.36, 0, 8, 40
2024_05_16 - 07:14:15 PM, 0.00, 0.00, 872.09, 0.00, 28.46, 0, 8, 40
2024_05_16 - 07:14:17 PM, 0.00, 0.00, 872.09, 0.00, 28.46, 0, 8, 40
2024_05_16 - 07:14:25 PM, 0.00, 0.00, 872.09, 0.00, 28.46, 0, 8, 40
2024_05_16 - 07:14:29 PM, 0.00, 0.00, 872.09, 0.00, 28.46, 0, 8, 40
2024_05_16 - 07:14:32 PM, 0.00, 0.00, 872.09, 0.00, 28.46, 0, 8, 40
2024_05_16 - 07:14:33 PM, 0.00, 0.00, 872.05, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:14:35 PM, 0.00, 0.00, 872.05, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:14:43 PM, 0.00, 0.00, 872.05, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:14:46 PM, 0.00, 0.00, 872.05, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:14:49 PM, 0.00, 0.00, 872.05, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:14:51 PM, 0.00, 0.00, 872.01, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:14:53 PM, 0.00, 0.00, 872.01, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:15:01 PM, 0.00, 0.00, 872.01, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:15:04 PM, 0.00, 0.00, 872.01, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:15:07 PM, 0.00, 0.00, 872.01, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:15:08 PM, 0.00, 0.00, 871.95, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:15:10 PM, 0.00, 0.00, 871.95, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:15:19 PM, 0.00, 0.00, 871.95, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:15:22 PM, 0.00, 0.00, 871.95, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:15:25 PM, 0.00, 0.00, 871.95, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:15:26 PM, 0.00, 0.00, 871.99, 0.00, 28.53, 0, 8, 40
2024_05_16 - 07:15:28 PM, 0.00, 0.00, 871.99, 0.00, 28.53, 0, 8, 40
2024_05_16 - 07:15:37 PM, 0.00, 0.00, 871.99, 0.00, 28.53, 0, 8, 40
2024_05_16 - 07:15:40 PM, 0.00, 0.00, 871.99, 0.00, 28.53, 0, 8, 40
2024_05_16 - 07:15:43 PM, 0.00, 0.00, 871.99, 0.00, 28.53, 0, 8, 40
2024_05_16 - 07:15:44 PM, 0.00, 0.00, 872.09, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:15:46 PM, 0.00, 0.00, 872.09, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:15:55 PM, 0.00, 0.00, 872.09, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:15:58 PM, 0.00, 0.00, 872.09, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:16:01 PM, 0.00, 0.00, 872.09, 0.00, 28.67, 0, 8, 40
2024_05_16 - 07:16:02 PM, 0.00, 0.00, 872.09, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:16:04 PM, 0.00, 0.00, 872.09, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:16:13 PM, 0.00, 0.00, 872.09, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:16:16 PM, 0.00, 0.00, 872.09, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:16:19 PM, 0.00, 0.00, 872.09, 0.00, 28.51, 0, 8, 40
2024_05_16 - 07:16:20 PM, 0.00, 0.00, 872.14, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:16:22 PM, 0.00, 0.00, 872.14, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:16:30 PM, 0.00, 0.00, 872.14, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:16:34 PM, 0.00, 0.00, 872.14, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:16:37 PM, 0.00, 0.00, 872.14, 0.00, 28.63, 0, 8, 40
2024_05_16 - 07:16:38 PM, 0.00, 0.00, 872.03, 0.00, 28.76, 0, 8, 40
2024_05_16 - 07:16:40 PM, 0.00, 0.00, 872.03, 0.00, 28.76, 0, 8, 40
2024_05_16 - 07:16:48 PM, 0.00, 0.00, 872.03, 0.00, 28.76, 0, 8, 40
2024_05_16 - 07:16:51 PM, 0.00, 0.00, 872.03, 0.00, 28.76, 0, 8, 40
2024_05_16 - 07:16:54 PM, 0.00, 0.00, 872.03, 0.00, 28.76, 0, 8, 40
2024_05_16 - 07:16:56 PM, 0.00, 0.00, 872.08, 0.00, 28.82, 0, 8, 40
2024_05_16 - 07:16:58 PM, 0.00, 0.00, 872.08, 0.00, 28.82, 0, 8, 40
2024_05_16 - 07:17:06 PM, 0.00, 0.00, 872.08, 0.00, 28.82, 0, 8, 40
2024_05_16 - 07:17:09 PM, 0.00, 0.00, 872.08, 0.00, 28.82, 0, 8, 40
2024_05_16 - 07:17:12 PM, 0.00, 0.00, 872.08, 0.00, 28.82, 0, 8, 40
2024_05_16 - 07:17:13 PM, 0.00, 0.00, 872.18, 0.00, 28.92, 0, 8, 40
2024_05_16 - 07:17:15 PM, 0.00, 0.00, 872.18, 0.00, 28.92, 0, 8, 40
2024_05_16 - 07:17:24 PM, 0.00, 0.00, 872.18, 0.00, 28.92, 0, 8, 40
2024_05_16 - 07:17:27 PM, 0.00, 0.00, 872.18, 0.00, 28.92, 0, 8, 40
2024_05_16 - 07:17:30 PM, 0.00, 0.00, 872.18, 0.00, 28.92, 0, 8, 40
2024_05_16 - 07:17:31 PM, 0.00, 0.00, 872.10, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:17:33 PM, 0.00, 0.00, 872.10, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:17:42 PM, 0.00, 0.00, 872.10, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:17:45 PM, 0.00, 0.00, 872.10, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:17:48 PM, 0.00, 0.00, 872.10, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:17:49 PM, 0.00, 0.00, 872.12, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:17:51 PM, 0.00, 0.00, 872.12, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:18:00 PM, 0.00, 0.00, 872.12, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:18:03 PM, 0.00, 0.00, 872.12, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:18:06 PM, 0.00, 0.00, 872.12, 0.00, 29.04, 0, 8, 40
2024_05_16 - 07:18:07 PM, 0.00, 0.00, 872.08, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:18:09 PM, 0.00, 0.00, 872.08, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:18:18 PM, 0.00, 0.00, 872.08, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:18:21 PM, 0.00, 0.00, 872.08, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:18:24 PM, 0.00, 0.00, 872.08, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:18:25 PM, 0.00, 0.00, 872.04, 0.00, 29.06, 0, 8, 40
2024_05_16 - 07:18:27 PM, 0.00, 0.00, 872.04, 0.00, 29.06, 0, 8, 40
2024_05_16 - 07:18:35 PM, 0.00, 0.00, 872.04, 0.00, 29.06, 0, 8, 40
2024_05_16 - 07:18:39 PM, 0.00, 0.00, 872.04, 0.00, 29.06, 0, 8, 40
2024_05_16 - 07:18:42 PM, 0.00, 0.00, 872.04, 0.00, 29.06, 0, 8, 40
2024_05_16 - 07:18:43 PM, 0.00, 0.00, 872.04, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:18:45 PM, 0.00, 0.00, 872.04, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:18:53 PM, 0.00, 0.00, 872.04, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:18:56 PM, 0.00, 0.00, 872.04, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:19:00 PM, 0.00, 0.00, 872.04, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:19:01 PM, 0.00, 0.00, 872.10, 0.00, 29.10, 0, 8, 40
2024_05_16 - 07:19:03 PM, 0.00, 0.00, 872.10, 0.00, 29.10, 0, 8, 40
2024_05_16 - 07:19:11 PM, 0.00, 0.00, 872.10, 0.00, 29.10, 0, 8, 40
2024_05_16 - 07:19:14 PM, 0.00, 0.00, 872.10, 0.00, 29.10, 0, 8, 40
2024_05_16 - 07:19:17 PM, 0.00, 0.00, 872.10, 0.00, 29.10, 0, 8, 40
2024_05_16 - 07:19:18 PM, 0.00, 0.00, 871.96, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:19:20 PM, 0.00, 0.00, 871.96, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:19:29 PM, 0.00, 0.00, 871.96, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:19:32 PM, 0.00, 0.00, 871.96, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:19:35 PM, 0.00, 0.00, 871.96, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:19:36 PM, 0.00, 0.00, 872.11, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:19:38 PM, 0.00, 0.00, 872.11, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:19:47 PM, 0.00, 0.00, 872.11, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:19:50 PM, 0.00, 0.00, 872.11, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:19:53 PM, 0.00, 0.00, 872.11, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:19:54 PM, 0.00, 0.00, 872.14, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:19:56 PM, 0.00, 0.00, 872.14, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:20:05 PM, 0.00, 0.00, 872.14, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:20:08 PM, 0.00, 0.00, 872.14, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:20:11 PM, 0.00, 0.00, 872.14, 0.00, 29.16, 0, 8, 40
2024_05_16 - 07:20:12 PM, 0.00, 0.00, 872.13, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:14 PM, 0.00, 0.00, 872.13, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:23 PM, 0.00, 0.00, 872.13, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:26 PM, 0.00, 0.00, 872.13, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:29 PM, 0.00, 0.00, 872.13, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:30 PM, 0.00, 0.00, 872.16, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:32 PM, 0.00, 0.00, 872.16, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:40 PM, 0.00, 0.00, 872.16, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:44 PM, 0.00, 0.00, 872.16, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:47 PM, 0.00, 0.00, 872.16, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:20:48 PM, 0.00, 0.00, 872.16, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:20:50 PM, 0.00, 0.00, 872.16, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:20:58 PM, 0.00, 0.00, 872.16, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:21:01 PM, 0.00, 0.00, 872.16, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:21:04 PM, 0.00, 0.00, 872.16, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:21:06 PM, 0.00, 0.00, 872.19, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:08 PM, 0.00, 0.00, 872.19, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:16 PM, 0.00, 0.00, 872.19, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:19 PM, 0.00, 0.00, 872.19, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:22 PM, 0.00, 0.00, 872.19, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:23 PM, 0.00, 0.00, 872.13, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:25 PM, 0.00, 0.00, 872.13, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:34 PM, 0.00, 0.00, 872.13, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:37 PM, 0.00, 0.00, 872.13, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:40 PM, 0.00, 0.00, 872.13, 0.00, 29.36, 0, 8, 40
2024_05_16 - 07:21:41 PM, 0.00, 0.00, 872.20, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:21:43 PM, 0.00, 0.00, 872.20, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:21:52 PM, 0.00, 0.00, 872.20, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:21:55 PM, 0.00, 0.00, 872.20, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:21:58 PM, 0.00, 0.00, 872.20, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:21:59 PM, 0.00, 0.00, 872.21, 0.00, 29.38, 0, 8, 40
2024_05_16 - 07:22:01 PM, 0.00, 0.00, 872.21, 0.00, 29.38, 0, 8, 40
2024_05_16 - 07:22:10 PM, 0.00, 0.00, 872.21, 0.00, 29.38, 0, 8, 40
2024_05_16 - 07:22:13 PM, 0.00, 0.00, 872.21, 0.00, 29.38, 0, 8, 40
2024_05_16 - 07:22:16 PM, 0.00, 0.00, 872.21, 0.00, 29.38, 0, 8, 40
2024_05_16 - 07:22:17 PM, 0.00, 0.00, 872.18, 0.00, 29.26, 0, 8, 40
2024_05_16 - 07:22:19 PM, 0.00, 0.00, 872.18, 0.00, 29.26, 0, 8, 40
2024_05_16 - 07:22:28 PM, 0.00, 0.00, 872.18, 0.00, 29.26, 0, 8, 40
2024_05_16 - 07:22:31 PM, 0.00, 0.00, 872.18, 0.00, 29.26, 0, 8, 40
2024_05_16 - 07:22:34 PM, 0.00, 0.00, 872.18, 0.00, 29.26, 0, 8, 40
2024_05_16 - 07:22:35 PM, 0.00, 0.00, 872.22, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:22:37 PM, 0.00, 0.00, 872.22, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:22:45 PM, 0.00, 0.00, 872.22, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:22:49 PM, 0.00, 0.00, 872.22, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:22:52 PM, 0.00, 0.00, 872.22, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:22:53 PM, 0.00, 0.00, 872.17, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:22:55 PM, 0.00, 0.00, 872.17, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:23:03 PM, 0.00, 0.00, 872.17, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:23:06 PM, 0.00, 0.00, 872.17, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:23:10 PM, 0.00, 0.00, 872.17, 0.00, 29.42, 0, 8, 40
2024_05_16 - 07:23:11 PM, 0.00, 0.00, 872.26, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:23:13 PM, 0.00, 0.00, 872.26, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:23:21 PM, 0.00, 0.00, 872.26, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:23:24 PM, 0.00, 0.00, 872.26, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:23:27 PM, 0.00, 0.00, 872.26, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:23:28 PM, 0.00, 0.00, 872.14, 0.00, 29.30, 0, 8, 40
2024_05_16 - 07:23:30 PM, 0.00, 0.00, 872.14, 0.00, 29.30, 0, 8, 40
2024_05_16 - 07:23:39 PM, 0.00, 0.00, 872.14, 0.00, 29.30, 0, 8, 40
2024_05_16 - 07:23:42 PM, 0.00, 0.00, 872.14, 0.00, 29.30, 0, 8, 40
2024_05_16 - 07:23:45 PM, 0.00, 0.00, 872.14, 0.00, 29.30, 0, 8, 40
2024_05_16 - 07:23:46 PM, 0.00, 0.00, 872.25, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:23:48 PM, 0.00, 0.00, 872.25, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:23:57 PM, 0.00, 0.00, 872.25, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:24:00 PM, 0.00, 0.00, 872.25, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:24:03 PM, 0.00, 0.00, 872.25, 0.00, 29.32, 0, 8, 40
2024_05_16 - 07:24:04 PM, 0.00, 0.00, 872.20, 0.00, 29.28, 0, 8, 40
2024_05_16 - 07:24:06 PM, 0.00, 0.00, 872.20, 0.00, 29.28, 0, 8, 40
2024_05_16 - 07:24:15 PM, 0.00, 0.00, 872.20, 0.00, 29.28, 0, 8, 40
2024_05_16 - 07:24:18 PM, 0.00, 0.00, 872.20, 0.00, 29.28, 0, 8, 40
2024_05_16 - 07:24:21 PM, 0.00, 0.00, 872.20, 0.00, 29.28, 0, 8, 40
2024_05_16 - 07:24:22 PM, 0.00, 0.00, 872.18, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:24:24 PM, 0.00, 0.00, 872.18, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:24:33 PM, 0.00, 0.00, 872.18, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:24:36 PM, 0.00, 0.00, 872.18, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:24:39 PM, 0.00, 0.00, 872.18, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:24:40 PM, 0.00, 0.00, 872.17, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:24:42 PM, 0.00, 0.00, 872.17, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:24:50 PM, 0.00, 0.00, 872.17, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:24:54 PM, 0.00, 0.00, 872.17, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:24:57 PM, 0.00, 0.00, 872.17, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:24:58 PM, 0.00, 0.00, 872.13, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:25:00 PM, 0.00, 0.00, 872.13, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:25:08 PM, 0.00, 0.00, 872.13, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:25:11 PM, 0.00, 0.00, 872.13, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:25:15 PM, 0.00, 0.00, 872.13, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:25:16 PM, 0.00, 0.00, 872.20, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:25:18 PM, 0.00, 0.00, 872.20, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:25:26 PM, 0.00, 0.00, 872.20, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:25:29 PM, 0.00, 0.00, 872.20, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:25:32 PM, 0.00, 0.00, 872.20, 0.00, 29.46, 0, 8, 40
2024_05_16 - 07:25:33 PM, 0.00, 0.00, 872.14, 0.00, 29.44, 0, 8, 40
2024_05_16 - 07:25:35 PM, 0.00, 0.00, 872.14, 0.00, 29.44, 0, 8, 40
2024_05_16 - 07:25:44 PM, 0.00, 0.00, 872.14, 0.00, 29.44, 0, 8, 40
2024_05_16 - 07:25:47 PM, 0.00, 0.00, 872.14, 0.00, 29.44, 0, 8, 40
2024_05_16 - 07:25:50 PM, 0.00, 0.00, 872.14, 0.00, 29.44, 0, 8, 40
2024_05_16 - 07:25:51 PM, 0.00, 0.00, 872.18, 0.00, 29.52, 0, 8, 40
2024_05_16 - 07:25:53 PM, 0.00, 0.00, 872.18, 0.00, 29.52, 0, 8, 40
2024_05_16 - 07:26:02 PM, 0.00, 0.00, 872.18, 0.00, 29.52, 0, 8, 40
2024_05_16 - 07:26:05 PM, 0.00, 0.00, 872.18, 0.00, 29.52, 0, 8, 40
2024_05_16 - 07:26:08 PM, 0.00, 0.00, 872.18, 0.00, 29.52, 0, 8, 40
2024_05_16 - 07:26:09 PM, 0.00, 0.00, 872.21, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:26:11 PM, 0.00, 0.00, 872.21, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:26:20 PM, 0.00, 0.00, 872.21, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:26:23 PM, 0.00, 0.00, 872.21, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:26:26 PM, 0.00, 0.00, 872.21, 0.00, 29.40, 0, 8, 40
2024_05_16 - 07:26:27 PM, 0.00, 0.00, 872.26, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:26:29 PM, 0.00, 0.00, 872.26, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:26:38 PM, 0.00, 0.00, 872.26, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:26:41 PM, 0.00, 0.00, 872.26, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:26:44 PM, 0.00, 0.00, 872.26, 0.00, 29.34, 0, 8, 40
2024_05_16 - 07:26:45 PM, 0.00, 0.00, 872.25, 0.00, 29.22, 0, 8, 40
2024_05_16 - 07:26:47 PM, 0.00, 0.00, 872.25, 0.00, 29.22, 0, 8, 40
2024_05_16 - 07:26:55 PM, 0.00, 0.00, 872.25, 0.00, 29.22, 0, 8, 40
2024_05_16 - 07:26:59 PM, 0.00, 0.00, 872.25, 0.00, 29.22, 0, 8, 40
2024_05_16 - 07:27:02 PM, 0.00, 0.00, 872.25, 0.00, 29.22, 0, 8, 40
2024_05_16 - 07:27:03 PM, 0.00, 0.00, 872.16, 0.00, 29.12, 0, 8, 40
2024_05_16 - 07:27:05 PM, 0.00, 0.00, 872.16, 0.00, 29.12, 0, 8, 40
2024_05_16 - 07:27:13 PM, 0.00, 0.00, 872.16, 0.00, 29.12, 0, 8, 40
2024_05_16 - 07:27:16 PM, 0.00, 0.00, 872.16, 0.00, 29.12, 0, 8, 40
2024_05_16 - 07:27:20 PM, 0.00, 0.00, 872.16, 0.00, 29.12, 0, 8, 40
2024_05_16 - 07:27:21 PM, 0.00, 0.00, 872.14, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:27:23 PM, 0.00, 0.00, 872.14, 0.00, 29.18, 0, 8, 40
2024_05_16 - 07:27:31 PM, 0.00, 0.00, 872.14, 0.00, 29.18, 0, 8, 40
