Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_07 - 01:06:17 PM, 26.60, 31.73, 888.98, 537.59, 0.53, 4.00, 18.00, 30.00
2024_07_07 - 01:07:18 PM, 26.55, 31.78, 888.97, 540.18, 0.53, 2.00, 10.00, 20.00
2024_07_07 - 01:08:18 PM, 26.55, 31.78, 888.92, 541.44, 0.56, 4.00, 14.00, 24.00
2024_07_07 - 01:09:18 PM, 26.54, 31.74, 888.93, 539.46, 0.56, 4.00, 10.00, 20.00
2024_07_07 - 01:10:24 PM, 26.51, 31.83, 888.91, 542.73, 0.56, 0.00, 10.00, 20.00
2024_07_07 - 01:11:24 PM, 26.51, 31.83, 888.97, 542.73, 0.56, 4.00, 12.00, 22.00
2024_07_07 - 01:12:24 PM, 26.43, 31.88, 888.94, 542.21, 0.58, 2.00, 10.00, 20.00
2024_07_07 - 01:13:25 PM, 26.44, 31.87, 888.94, 542.84, 0.58, 4.00, 14.00, 24.00
2024_07_07 - 01:14:25 PM, 26.47, 31.90, 888.98, 542.51, 0.59, 4.00, 12.00, 22.00
2024_07_07 - 01:15:25 PM, 26.47, 31.95, 888.91, 545.31, 0.60, 4.00, 12.00, 22.00
2024_07_07 - 01:16:26 PM, 26.43, 31.99, 888.96, 546.87, 0.61, 6.00, 16.00, 26.00
2024_07_07 - 01:17:26 PM, 26.41, 31.89, 888.90, 549.70, 0.62, 6.00, 18.00, 28.00
2024_07_07 - 01:18:27 PM, 26.41, 31.89, 888.91, 550.26, 0.64, 2.00, 8.00, 18.00
2024_07_07 - 01:19:27 PM, 26.47, 31.70, 888.83, 552.97, 0.68, 4.00, 12.00, 22.00
2024_07_07 - 01:20:28 PM, 26.48, 31.63, 888.86, 555.66, 0.70, 0.00, 10.00, 20.00
2024_07_07 - 01:21:28 PM, 26.48, 31.63, 888.90, 555.66, 0.73, 2.00, 18.00, 28.00
2024_07_07 - 01:22:29 PM, 26.47, 31.38, 888.90, 556.70, 0.73, 2.00, 14.00, 24.00
2024_07_07 - 01:23:29 PM, 26.54, 30.85, 888.90, 555.45, 0.71, 2.00, 12.00, 22.00
2024_07_07 - 01:24:29 PM, 26.48, 31.18, 888.92, 554.17, 0.71, 2.00, 12.00, 22.00
2024_07_07 - 01:25:30 PM, 26.50, 31.11, 888.87, 554.09, 0.71, 4.00, 10.00, 20.00
2024_07_07 - 01:26:25 PM, 26.52, 31.03, 888.94, 555.45, 0.71, 2.00, 16.00, 26.00
2024_07_07 - 01:27:25 PM, 26.48, 31.07, 888.89, 557.41, 0.73, 8.00, 14.00, 36.00
2024_07_07 - 01:28:26 PM, 26.50, 30.92, 888.85, 559.93, 0.74, 2.00, 10.00, 20.00
2024_07_07 - 01:29:26 PM, 26.51, 30.86, 888.83, 562.26, 0.76, 4.00, 8.00, 20.00
2024_07_07 - 01:30:26 PM, 26.54, 30.80, 888.81, 564.59, 0.80, 6.00, 14.00, 24.00
2024_07_07 - 01:31:27 PM, 26.54, 30.80, 888.81, 561.96, 0.80, 4.00, 14.00, 24.00
2024_07_07 - 01:32:27 PM, 26.54, 30.80, 888.77, 561.96, 0.81, 4.00, 14.00, 24.00
2024_07_07 - 01:33:28 PM, 26.58, 30.86, 888.80, 564.97, 0.80, 2.00, 10.00, 20.00
2024_07_07 - 01:34:28 PM, 26.58, 30.97, 888.80, 569.95, 0.80, 4.00, 10.00, 22.00
2024_07_07 - 01:35:34 PM, 26.54, 31.14, 888.84, 581.54, 0.81, 0.00, 8.00, 18.00
2024_07_07 - 01:36:35 PM, 26.62, 30.98, 888.81, 596.07, 0.84, 2.00, 10.00, 20.00
2024_07_07 - 01:37:35 PM, 26.50, 31.08, 888.86, 598.74, 0.84, 2.00, 12.00, 22.00
2024_07_07 - 01:38:36 PM, 26.58, 30.98, 888.82, 610.99, 0.87, 0.00, 6.00, 16.00
2024_07_07 - 01:39:36 PM, 26.55, 30.92, 888.85, 610.69, 0.84, 2.00, 10.00, 20.00
2024_07_07 - 01:40:36 PM, 26.48, 30.89, 888.83, 605.51, 0.85, 2.00, 10.00, 20.00
2024_07_07 - 01:41:37 PM, 26.51, 30.82, 888.83, 594.60, 0.84, 4.00, 12.00, 22.00
2024_07_07 - 01:42:37 PM, 26.51, 30.82, 888.81, 594.60, 0.84, 2.00, 8.00, 20.00
2024_07_07 - 01:43:35 PM, 26.51, 30.89, 888.79, 593.01, 0.86, 4.00, 12.00, 22.00
2024_07_07 - 01:44:35 PM, 26.52, 30.80, 888.75, 598.09, 0.88, 0.00, 10.00, 20.00
2024_07_07 - 01:45:35 PM, 26.48, 30.84, 888.73, 596.28, 0.91, 0.00, 6.00, 16.00
2024_07_07 - 01:46:35 PM, 26.48, 30.85, 888.76, 592.47, 0.88, 0.00, 10.00, 20.00
2024_07_07 - 01:47:35 PM, 26.50, 30.69, 888.78, 591.73, 0.91, 2.00, 14.00, 24.00
2024_07_07 - 01:48:35 PM, 26.52, 30.73, 888.70, 590.70, 0.90, 4.00, 12.00, 22.00
