Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_09 - 11:21:11 PM,27.78,47.20,886.81,731.21,6.74,10.00,20.00,30.00

2024_07_09 - 11:22:12 PM,27.78,47.20,886.75,731.21,6.89,10.00,26.00,36.00

2024_07_09 - 11:23:12 PM,27.72,47.38,886.78,703.03,6.88,8.00,20.00,30.00

2024_07_09 - 11:24:12 PM,27.60,46.81,886.80,667.73,7.79,12.00,24.00,34.00

2024_07_09 - 11:25:13 PM,27.48,47.00,886.75,643.58,10.01,8.00,22.00,32.00

2024_07_09 - 11:26:13 PM,27.48,47.04,886.78,644.53,11.66,18.00,30.00,40.00

2024_07_09 - 11:27:13 PM,27.39,47.31,886.76,654.45,13.06,14.00,24.00,34.00

2024_07_09 - 11:28:13 PM,27.36,47.35,886.74,637.76,14.12,10.00,18.00,36.00

2024_07_09 - 11:29:14 PM,27.34,47.50,886.76,628.99,15.25,16.00,28.00,38.00

2024_07_09 - 11:30:14 PM,27.43,47.34,886.76,630.64,15.98,8.00,18.00,30.00

2024_07_09 - 11:31:13 PM,27.53,47.07,886.77,638.74,16.51,14.00,22.00,32.00

2024_07_09 - 11:32:15 PM,27.41,47.28,886.73,637.07,17.11,12.00,28.00,38.00

2024_07_09 - 11:33:15 PM,27.41,47.28,886.72,637.07,17.47,8.00,18.00,28.00

2024_07_09 - 11:34:15 PM,27.43,46.89,886.72,630.30,17.81,8.00,20.00,40.00

2024_07_09 - 11:35:15 PM,27.36,47.30,886.66,637.33,18.31,10.00,28.00,38.00

2024_07_09 - 11:36:16 PM,27.30,47.33,886.73,628.07,17.90,12.00,22.00,32.00

2024_07_09 - 11:37:16 PM,27.30,47.32,886.69,626.41,17.21,10.00,18.00,28.00

2024_07_09 - 11:38:16 PM,27.41,47.19,886.68,632.07,17.36,10.00,20.00,30.00

2024_07_09 - 11:39:17 PM,27.34,47.25,886.64,627.02,17.39,16.00,24.00,34.00

2024_07_09 - 11:40:17 PM,27.34,47.16,886.65,624.17,17.37,16.00,36.00,46.00

2024_07_09 - 11:41:17 PM,27.33,47.16,886.65,626.28,17.17,14.00,24.00,34.00

2024_07_09 - 11:42:17 PM,27.34,47.18,886.66,625.23,16.98,10.00,18.00,28.00

2024_07_09 - 11:43:18 PM,27.34,47.18,886.63,625.23,16.80,12.00,20.00,30.00

2024_07_09 - 11:44:18 PM,27.20,47.52,886.65,621.88,16.29,10.00,26.00,36.00

2024_07_09 - 11:45:18 PM,27.23,47.43,886.65,618.57,15.90,12.00,24.00,34.00

2024_07_09 - 11:46:19 PM,27.13,47.56,886.66,613.66,15.27,10.00,22.00,32.00

2024_07_09 - 11:47:19 PM,27.22,47.49,886.67,612.00,14.91,16.00,32.00,42.00

2024_07_09 - 11:48:19 PM,27.17,47.48,886.66,612.02,15.09,12.00,22.00,32.00

2024_07_09 - 11:49:19 PM,27.16,47.51,886.65,611.61,14.69,10.00,18.00,28.00

2024_07_09 - 11:50:20 PM,27.17,47.47,886.66,607.79,14.26,12.00,28.00,38.00

