{'Body': {'id': 2, 'msgid': 4, 'datetime': '2024-07-09T18:00:36', 'T': 28.75, 'RH': 41.52000046, 'P': 887.6900024, 'eVOC': 0.5, 'CO2': 592.5300293, 'PM25': 22}}
{'Body': {'id': 2, 'msgid': 5, 'datetime': '2024-07-09T18:01:36', 'T': 28.87000084, 'RH': 41.33000183, 'P': 887.539978, 'eVOC': 0.5, 'CO2': 609.9299927, 'PM25': 18}}
{'Body': {'id': 2, 'msgid': 6, 'datetime': '2024-07-09T18:02:36', 'T': 28.87000084, 'RH': 41.33000183, 'P': 887.5999756, 'eVOC': 0.50999999, 'CO2': 609.9299927, 'PM25': 20}}
{'Body': {'id': 2, 'msgid': 7, 'datetime': '2024-07-09T18:03:37', 'T': 28.95999908, 'RH': 41.13999939, 'P': 887.7000122, 'eVOC': 0.5, 'CO2': 627.6300049, 'PM25': 26}}
{'Body': {'id': 2, 'msgid': 8, 'datetime': '2024-07-09T18:04:37', 'T': 29.03000069, 'RH': 41.11999893, 'P': 887.5599976, 'eVOC': 0.5, 'CO2': 643.2299805, 'PM25': 26}}
{'Body': {'id': 2, 'msgid': 9, 'datetime': '2024-07-09T18:05:37', 'T': 28.98999977, 'RH': 41.18999863, 'P': 887.6099854, 'eVOC': 0.529999971, 'CO2': 639.9799805, 'PM25': 24}}
{'Body': {'id': 2, 'msgid': 10, 'datetime': '2024-07-09T18:06:37', 'T': 29.03000069, 'RH': 41.11999893, 'P': 887.5599976, 'eVOC': 0.519999981, 'CO2': 633.7800293, 'PM25': 22}}
{'Body': {'id': 2, 'msgid': 11, 'datetime': '2024-07-09T18:07:38', 'T': 28.95000076, 'RH': 41.52999878, 'P': 887.5800171, 'eVOC': 0.519999981, 'CO2': 642.5800171, 'PM25': 12}}
{'Body': {'id': 2, 'msgid': 12, 'datetime': '2024-07-09T18:08:38', 'T': 28.98999977, 'RH': 40.66999817, 'P': 887.6400146, 'eVOC': 0.50999999, 'CO2': 636.5300293, 'PM25': 16}}
{'Body': {'id': 2, 'msgid': 13, 'datetime': '2024-07-09T18:09:38', 'T': 29.05999947, 'RH': 40.63999939, 'P': 887.4699707, 'eVOC': 0.5, 'CO2': 633.2800293, 'PM25': 28}}
{'Body': {'id': 2, 'msgid': 14, 'datetime': '2024-07-09T18:10:39', 'T': 28.98999977, 'RH': 40.68999863, 'P': 887.5900269, 'eVOC': 0.479999989, 'CO2': 639.6900024, 'PM25': 20}}
{'Body': {'id': 2, 'msgid': 15, 'datetime': '2024-07-09T18:11:39', 'T': 29.02000046, 'RH': 41.15000153, 'P': 887.5900269, 'eVOC': 0.5, 'CO2': 644.3200073, 'PM25': 26}}
{'Body': {'id': 2, 'msgid': 16, 'datetime': '2024-07-09T18:12:39', 'T': 28.97999954, 'RH': 41.25, 'P': 887.5300293, 'eVOC': 0.5, 'CO2': 650.8099976, 'PM25': 22}}
{'Body': {'id': 2, 'msgid': 17, 'datetime': '2024-07-09T18:13:39', 'T': 28.97999954, 'RH': 41.25, 'P': 887.6300049, 'eVOC': 0.519999981, 'CO2': 650.8099976, 'PM25': 24}}
{'Body': {'id': 2, 'msgid': 18, 'datetime': '2024-07-09T18:14:40', 'T': 28.95000076, 'RH': 41.11999893, 'P': 887.7399902, 'eVOC': 0.50999999, 'CO2': 644.8400269, 'PM25': 24}}
{'Body': {'id': 2, 'msgid': 19, 'datetime': '2024-07-09T18:15:40', 'T': 28.92000008, 'RH': 41.15000153, 'P': 887.7999878, 'eVOC': 0.519999981, 'CO2': 650.1099854, 'PM25': 18}}
{'Body': {'id': 2, 'msgid': 20, 'datetime': '2024-07-09T18:16:40', 'T': 28.97999954, 'RH': 40.77000046, 'P': 887.7399902, 'eVOC': 0.5, 'CO2': 645.3499756, 'PM25': 18}}
{'Body': {'id': 2, 'msgid': 21, 'datetime': '2024-07-09T18:17:41', 'T': 29.02000046, 'RH': 41.13000107, 'P': 887.4099731, 'eVOC': 0.50999999, 'CO2': 644.8499756, 'PM25': 20}}
{'Body': {'id': 2, 'msgid': 22, 'datetime': '2024-07-09T18:18:41', 'T': 29.02000046, 'RH': 40.79000092, 'P': 887.5, 'eVOC': 0.50999999, 'CO2': 653.3699951, 'PM25': 20}}
{'Body': {'id': 2, 'msgid': 23, 'datetime': '2024-07-09T18:19:41', 'T': 29.01000023, 'RH': 40.52000046, 'P': 887.5499878, 'eVOC': 0.50999999, 'CO2': 644.6900024, 'PM25': 20}}
{'Body': {'id': 2, 'msgid': 24, 'datetime': '2024-07-09T18:20:41', 'T': 29.04999924, 'RH': 40.81999969, 'P': 887.6900024, 'eVOC': 0.50999999, 'CO2': 646.3300171, 'PM25': 26}}
{'Body': {'id': 2, 'msgid': 25, 'datetime': '2024-07-09T18:21:42', 'T': 29.03000069, 'RH': 40.97999954, 'P': 887.710022, 'eVOC': 0.50999999, 'CO2': 645.3499756, 'PM25': 16}}
{'Body': {'id': 2, 'msgid': 26, 'datetime': '2024-07-09T18:22:42', 'T': 28.95999908, 'RH': 41.09000015, 'P': 887.5100098, 'eVOC': 0.50999999, 'CO2': 643.9899902, 'PM25': 24}}
{'Body': {'id': 2, 'msgid': 27, 'datetime': '2024-07-09T18:23:42', 'T': 28.97999954, 'RH': 41.06999969, 'P': 887.4400024, 'eVOC': 0.519999981, 'CO2': 649.3499756, 'PM25': 22}}
{'Body': {'id': 2, 'msgid': 28, 'datetime': '2024-07-09T18:24:43', 'T': 28.97999954, 'RH': 41.06999969, 'P': 887.7000122, 'eVOC': 0.540000021, 'CO2': 649.3499756, 'PM25': 24}}
{'Body': {'id': 2, 'msgid': 29, 'datetime': '2024-07-09T18:25:43', 'T': 29.03000069, 'RH': 40.74000168, 'P': 887.6099854, 'eVOC': 0.519999981, 'CO2': 640.9699707, 'PM25': 20}}
{'Body': {'id': 2, 'msgid': 30, 'datetime': '2024-07-09T18:26:43', 'T': 28.95000076, 'RH': 40.86999893, 'P': 887.6400146, 'eVOC': 0.50999999, 'CO2': 627.6599731, 'PM25': 20}}
{'Body': {'id': 2, 'msgid': 31, 'datetime': '2024-07-09T18:27:43', 'T': 29.06999969, 'RH': 40.91999817, 'P': 887.3800049, 'eVOC': 0.50999999, 'CO2': 631.3800049, 'PM25': 18}}
{'Body': {'id': 2, 'msgid': 32, 'datetime': '2024-07-09T18:28:44', 'T': 29.13999939, 'RH': 41.31000137, 'P': 887.710022, 'eVOC': 0.5, 'CO2': 648.3900146, 'PM25': 26}}
{'Body': {'id': 2, 'msgid': 33, 'datetime': '2024-07-09T18:29:44', 'T': 28.97999954, 'RH': 40.72000122, 'P': 887.5700073, 'eVOC': 0.519999981, 'CO2': 623.5800171, 'PM25': 20}}
{'Body': {'id': 2, 'msgid': 34, 'datetime': '2024-07-09T18:30:44', 'T': 29.01000023, 'RH': 41, 'P': 887.7399902, 'eVOC': 0.50999999, 'CO2': 614.5499878, 'PM25': 26}}
{'Body': {'id': 2, 'msgid': 35, 'datetime': '2024-07-09T18:31:45', 'T': 28.98999977, 'RH': 40.90000153, 'P': 887.710022, 'eVOC': 0.5, 'CO2': 594.8400269, 'PM25': 26}}
{'Body': {'id': 2, 'msgid': 36, 'datetime': '2024-07-09T18:32:45', 'T': 29.05999947, 'RH': 40.93000031, 'P': 887.6500244, 'eVOC': 0.5, 'CO2': 586.4099731, 'PM25': 18}}
