{'Body': {'id': 1, 'msgid': 98, 'datetime': '2024-07-06T14:35:16', 'T': 22.75, 'RH': 32.08000183, 'P': 891.2399902, 'eVOC': 0.5, 'CO2': 429.8999939, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 99, 'datetime': '2024-07-06T14:36:28', 'T': 22.78000069, 'RH': 32.04000092, 'P': 891.2399902, 'eVOC': 0.5, 'CO2': 428.4599915, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 100, 'datetime': '2024-07-06T14:37:42', 'T': 22.79999924, 'RH': 32.04000092, 'P': 891.2399902, 'eVOC': 0.519999981, 'CO2': 433.6700134, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 101, 'datetime': '2024-07-06T14:38:55', 'T': 22.82999992, 'RH': 31.96999931, 'P': 891.2600098, 'eVOC': 0.529999971, 'CO2': 433.9400024, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 102, 'datetime': '2024-07-06T14:40:08', 'T': 22.87000084, 'RH': 31.87999916, 'P': 891.2600098, 'eVOC': 0.519999981, 'CO2': 432.6400146, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 103, 'datetime': '2024-07-06T14:41:21', 'T': 22.85000038, 'RH': 31.87999916, 'P': 891.2800293, 'eVOC': 0.50999999, 'CO2': 434.6199951, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 104, 'datetime': '2024-07-06T14:42:35', 'T': 22.85000038, 'RH': 31.89999962, 'P': 891.2700195, 'eVOC': 0.50999999, 'CO2': 433.3500061, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 105, 'datetime': '2024-07-06T14:43:47', 'T': 22.81999969, 'RH': 31.94000053, 'P': 891.2800293, 'eVOC': 0.519999981, 'CO2': 432.2399902, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 107, 'datetime': '2024-07-06T14:46:20', 'T': 22.84000015, 'RH': 31.94000053, 'P': 891.2600098, 'eVOC': 0.519999981, 'CO2': 431.2600098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 108, 'datetime': '2024-07-06T14:47:32', 'T': 22.87999916, 'RH': 31.86000061, 'P': 891.2700195, 'eVOC': 0.529999971, 'CO2': 428.3299866, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 109, 'datetime': '2024-07-06T14:48:46', 'T': 22.87999916, 'RH': 31.88999939, 'P': 891.2700195, 'eVOC': 0.540000021, 'CO2': 425.2799988, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 110, 'datetime': '2024-07-06T14:49:59', 'T': 22.87999916, 'RH': 31.93000031, 'P': 891.3099976, 'eVOC': 0.550000012, 'CO2': 427.25, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 111, 'datetime': '2024-07-06T14:51:11', 'T': 22.88999939, 'RH': 31.93000031, 'P': 891.3300171, 'eVOC': 0.560000002, 'CO2': 429.0100098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 111, 'datetime': '2024-07-06T14:51:11', 'T': 22.88999939, 'RH': 31.93000031, 'P': 891.3300171, 'eVOC': 0.560000002, 'CO2': 429.0100098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 112, 'datetime': '2024-07-06T14:52:25', 'T': 22.87000084, 'RH': 31.90999985, 'P': 891.3200073, 'eVOC': 0.579999983, 'CO2': 432.4200134, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 113, 'datetime': '2024-07-06T14:53:38', 'T': 22.88999939, 'RH': 31.90999985, 'P': 891.3499756, 'eVOC': 0.569999993, 'CO2': 432.5299988, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 114, 'datetime': '2024-07-06T14:54:51', 'T': 22.88999939, 'RH': 31.85000038, 'P': 891.3499756, 'eVOC': 0.560000002, 'CO2': 430.9299927, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 115, 'datetime': '2024-07-06T14:56:04', 'T': 22.86000061, 'RH': 31.92000008, 'P': 891.3300171, 'eVOC': 0.550000012, 'CO2': 429.1499939, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 116, 'datetime': '2024-07-06T14:57:17', 'T': 22.86000061, 'RH': 31.97999954, 'P': 891.3099976, 'eVOC': 0.560000002, 'CO2': 432.7000122, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 117, 'datetime': '2024-07-06T14:58:30', 'T': 22.82999992, 'RH': 32.04999924, 'P': 891.3200073, 'eVOC': 0.579999983, 'CO2': 435.4899902, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 118, 'datetime': '2024-07-06T14:59:43', 'T': 22.84000015, 'RH': 32.13000107, 'P': 891.289978, 'eVOC': 0.620000005, 'CO2': 431.0299988, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 119, 'datetime': '2024-07-06T15:00:56', 'T': 22.79999924, 'RH': 32.22999954, 'P': 891.3300171, 'eVOC': 0.620000005, 'CO2': 430, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 120, 'datetime': '2024-07-06T15:02:09', 'T': 22.84000015, 'RH': 32.24000168, 'P': 891.289978, 'eVOC': 0.660000026, 'CO2': 425.6099854, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 121, 'datetime': '2024-07-06T15:03:23', 'T': 22.79999924, 'RH': 32.33000183, 'P': 891.289978, 'eVOC': 0.660000026, 'CO2': 425.3699951, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 122, 'datetime': '2024-07-06T15:04:35', 'T': 22.84000015, 'RH': 32.33000183, 'P': 891.289978, 'eVOC': 0.680000007, 'CO2': 423.3299866, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 123, 'datetime': '2024-07-06T15:05:49', 'T': 22.80999947, 'RH': 32.41999817, 'P': 891.2600098, 'eVOC': 0.660000026, 'CO2': 428.5899963, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 124, 'datetime': '2024-07-06T15:07:01', 'T': 22.84000015, 'RH': 32.43000031, 'P': 891.25, 'eVOC': 0.680000007, 'CO2': 427.5400085, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 125, 'datetime': '2024-07-06T15:08:15', 'T': 22.87000084, 'RH': 32.47000122, 'P': 891.2399902, 'eVOC': 0.709999979, 'CO2': 425.9700012, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 126, 'datetime': '2024-07-06T15:09:28', 'T': 22.85000038, 'RH': 32.54000092, 'P': 891.2299805, 'eVOC': 0.709999979, 'CO2': 427.7600098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 127, 'datetime': '2024-07-06T15:10:41', 'T': 22.86000061, 'RH': 32.61999893, 'P': 891.210022, 'eVOC': 0.730000019, 'CO2': 425.7099915, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 128, 'datetime': '2024-07-06T15:11:54', 'T': 22.89999962, 'RH': 32.58000183, 'P': 891.2399902, 'eVOC': 0.75999999, 'CO2': 424.1900024, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 129, 'datetime': '2024-07-06T15:13:08', 'T': 22.86000061, 'RH': 32.61999893, 'P': 891.25, 'eVOC': 0.730000019, 'CO2': 425.0100098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 130, 'datetime': '2024-07-06T15:14:20', 'T': 22.87999916, 'RH': 32.63999939, 'P': 891.2399902, 'eVOC': 0.730000019, 'CO2': 426.1799927, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 131, 'datetime': '2024-07-06T15:15:34', 'T': 22.88999939, 'RH': 32.59999847, 'P': 891.2199707, 'eVOC': 0.709999979, 'CO2': 426.5100098, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 132, 'datetime': '2024-07-06T15:16:47', 'T': 22.87999916, 'RH': 32.59999847, 'P': 891.1900024, 'eVOC': 0.709999979, 'CO2': 424.2900085, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 133, 'datetime': '2024-07-06T15:18:00', 'T': 22.84000015, 'RH': 32.63000107, 'P': 891.1599731, 'eVOC': 0.689999998, 'CO2': 425.6499939, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 134, 'datetime': '2024-07-06T15:19:13', 'T': 22.81999969, 'RH': 32.68999863, 'P': 891.1900024, 'eVOC': 0.680000007, 'CO2': 427.6700134, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 135, 'datetime': '2024-07-06T15:20:26', 'T': 22.85000038, 'RH': 32.68000031, 'P': 891.2000122, 'eVOC': 0.720000029, 'CO2': 426.8699951, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 136, 'datetime': '2024-07-06T15:21:39', 'T': 22.84000015, 'RH': 32.66999817, 'P': 891.1900024, 'eVOC': 0.720000029, 'CO2': 429.6300049, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 137, 'datetime': '2024-07-06T15:22:53', 'T': 22.80999947, 'RH': 32.72000122, 'P': 891.2000122, 'eVOC': 0.709999979, 'CO2': 434.480011, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 138, 'datetime': '2024-07-06T15:24:05', 'T': 22.84000015, 'RH': 32.72000122, 'P': 891.2000122, 'eVOC': 0.720000029, 'CO2': 431.0599976, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 139, 'datetime': '2024-07-06T15:25:19', 'T': 22.84000015, 'RH': 32.75999832, 'P': 891.210022, 'eVOC': 0.720000029, 'CO2': 427.6900024, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 140, 'datetime': '2024-07-06T15:26:32', 'T': 22.82999992, 'RH': 32.70999908, 'P': 891.2000122, 'eVOC': 0.689999998, 'CO2': 429.9299927, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 141, 'datetime': '2024-07-06T15:27:45', 'T': 22.79000092, 'RH': 32.74000168, 'P': 891.1900024, 'eVOC': 0.699999988, 'CO2': 435.5, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 142, 'datetime': '2024-07-06T15:28:58', 'T': 22.79000092, 'RH': 32.72999954, 'P': 891.2000122, 'eVOC': 0.699999988, 'CO2': 432.9899902, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 143, 'datetime': '2024-07-06T15:30:11', 'T': 22.75, 'RH': 32.75999832, 'P': 891.2000122, 'eVOC': 0.660000026, 'CO2': 435.6799927, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 144, 'datetime': '2024-07-06T15:31:24', 'T': 22.77000046, 'RH': 32.77999878, 'P': 891.2299805, 'eVOC': 0.670000017, 'CO2': 432.5799866, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 145, 'datetime': '2024-07-06T15:32:37', 'T': 22.75, 'RH': 32.83000183, 'P': 891.25, 'eVOC': 0.660000026, 'CO2': 433.8200073, 'PM25': 0}}
{'Body': {'id': 1, 'msgid': 146, 'datetime': '2024-07-06T15:33:50', 'T': 22.78000069, 'RH': 32.81000137, 'P': 891.2199707, 'eVOC': 0.660000026, 'CO2': 433.4200134, 'PM25': 0}}
