Time,Temp,RH,Pres,VOC,CO2,PM25
2024-07-06T11:28:01,25.1900005,32.4599990,888.570007,2.77999997,584.330017,10
2024-07-06T11:29:02,25.2,32.3400001,888.510009,2.80999994,583.270019,10
2024-07-06T11:30:02,25.2,32.3400001,888.520019,2.64000010,583.270019,8
2024-07-06T11:31:02,25.2199993,32.3600006,888.510009,2.56999993,584.140014,6
2024-07-06T11:32:03,25.2299995,32.2000007,888.559997,2.,583.659973,6
2024-07-06T11:33:03,25.2,32.3400001,888.570007,2.36999988,586.260009,8
2024-07-06T11:34:04,25.2299995,32.1899986,888.559997,2.32999992,589.159973,6
2024-07-06T11:35:04,25.2900009,32.0999984,888.559997,2.28999996,588.270019,14
2024-07-06T11:36:05,25.2700004,3,888.530029,2.21000003,586.979980,8
2024-07-06T11:37:05,25.2900009,32.1800003,888.510009,2.19000005,588.169982,8
2024-07-06T11:38:05,25.2700004,32.1100006,888.559997,2.06999993,586.830017,12
2024-07-06T11:39:06,25.2199993,32.0600013,888.549987,2.04999995,588.119995,6
2024-07-06T11:40:06,25.2199993,32.0600013,888.520019,1.9900000,588.119995,6
2024-07-06T11:41:07,25.2700004,32.0699996,888.489990,2.01999998,587.469970,12
2024-07-06T11:42:07,25.3299999,31.9899997,888.520019,2.05999994,588.070007,8
2024-07-06T11:43:08,25.3400001,31.8600006,888.520019,1.97000002,589.099975,14
2024-07-06T11:44:08,25.2900009,31.4599990,888.510009,1.86000001,591.030029,6
2024-07-06T11:45:09,25.2999992,31.4599990,888.530029,1.7599999,589.239990,10
2024-07-06T11:46:09,25.3999996,31.6700000,888.,1.7599999,587.380004,10
2024-07-06T11:47:09,25.3999996,31.6200008,888.520019,1.7,586.520019,12
2024-07-06T11:48:10,25.4300003,31.,888.510009,1.64999997,588.030029,18
2024-07-06T11:49:10,25.2299995,31.8099994,888.53997,1.61000001,573.090026,8
2024-07-06T11:50:11,25.1200008,31.9500007,888.53997,1.61000001,556.640014,6
2024-07-06T11:51:11,25.1200008,31.9500007,888.,1.62999999,556.640014,10
2024-07-06T11:52:12,25.3700008,31.5900001,888.510009,1.62000000,563.020019,12
2024-07-06T11:53:12,25.,31.2600002,888.510009,1.58000004,1200.42004,8
2024-07-06T11:54:13,25.5799999,31.2099990,888.559997,1.55999994,103,10
2024-07-06T11:55:13,25.6399993,31.0699996,888.559997,1.52999997,795.119995,6
2024-07-06T11:56:13,25.6700000,30.9099998,888.590026,1.48000001,615.530029,10
2024-07-06T11:57:14,25.6700000,30.9500007,888.599975,1.37999999,567.989990,10
2024-07-06T11:58:14,25.6700000,30.9200000,888.619995,1.37999999,575.619995,8
2024-07-06T11:59:15,25.7099990,31.0200004,888.599975,1.37000000,578.559997,8
2024-07-06T12:00:15,25.7199993,31.0699996,888.590026,1.36000001,59,14
2024-07-06T12:01:16,25.7800006,3,888.580017,1.38999998,574.409973,8
2024-07-06T12:02:16,25.7800006,3,888.570007,1.42999994,574.409973,14
2024-07-06T12:03:16,25.7,30.8299999,888.570007,1.37000000,583.929992,8
2024-07-06T12:04:17,25.8400001,30.3700008,888.590026,1.37000000,590.010009,10
2024-07-06T12:05:17,25.8099994,30.7700004,888.53997,1.32000005,592.099975,14
2024-07-06T12:06:18,25.8400001,30.9200000,888.489990,1.33000004,594.440002,10
2024-07-06T12:07:18,25.7700004,30.7600002,888.510009,1.29999995,596.320007,10
2024-07-06T12:08:19,25.7800006,30.6000003,888.520019,1.28999996,595.440002,10
2024-07-06T12:09:19,25.7,30.9699993,888.53997,1.29999995,590.179992,12
2024-07-06T12:10:19,25.7399997,30.6800003,888.,1.26999998,588.349975,12
2024-07-06T12:11:20,25.7099990,30.7999992,888.580017,1.2599999,584.770019,16
2024-07-06T12:12:20,25.7099990,30.7999992,888.609985,1.21000003,584.770019,12
