Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_06 - 12:22:28 PM, 25.91, 30.43, 888.62, 581.84, 1.16, 0.00, 12.00, 22.00
2024_07_06 - 12:23:29 PM, 25.91, 30.43, 888.67, 581.84, 1.14, 2.00, 8.00, 20.00
2024_07_06 - 12:24:29 PM, 25.84, 30.35, 888.66, 578.62, 1.13, 2.00, 8.00, 18.00
2024_07_06 - 12:25:29 PM, 25.89, 30.39, 888.70, 575.10, 1.10, 2.00, 10.00, 20.00
2024_07_06 - 12:26:30 PM, 25.91, 30.34, 888.65, 574.45, 1.12, 2.00, 8.00, 18.00
2024_07_06 - 12:27:37 PM, 25.93, 30.29, 888.68, 571.70, 1.14, 0.00, 8.00, 20.00
2024_07_06 - 12:28:36 PM, 25.96, 30.22, 888.68, 569.66, 1.11, 4.00, 12.00, 22.00
2024_07_06 - 12:29:31 PM, 25.96, 30.25, 888.69, 570.95, 1.13, 0.00, 12.00, 22.00
2024_07_06 - 12:30:32 PM, 26.02, 30.03, 888.68, 571.19, 1.21, 4.00, 16.00, 26.00
2024_07_06 - 12:31:32 PM, 26.06, 29.79, 888.70, 565.27, 1.22, 0.00, 10.00, 22.00
2024_07_06 - 12:32:33 PM, 26.06, 30.05, 888.67, 563.85, 1.23, 0.00, 10.00, 20.00
2024_07_06 - 12:33:33 PM, 25.99, 30.06, 888.69, 561.71, 1.25, 0.00, 8.00, 18.00
2024_07_06 - 12:34:33 PM, 25.99, 30.06, 888.69, 561.71, 1.37, 2.00, 12.00, 22.00
2024_07_06 - 12:35:34 PM, 26.03, 30.10, 888.67, 567.39, 1.46, 2.00, 10.00, 22.00
2024_07_06 - 12:36:34 PM, 26.08, 30.05, 888.65, 566.87, 1.58, 4.00, 10.00, 22.00
2024_07_06 - 12:37:35 PM, 26.10, 29.97, 888.66, 562.67, 1.63, 0.00, 8.00, 20.00
2024_07_06 - 12:38:35 PM, 26.10, 29.92, 888.67, 563.45, 1.68, 2.00, 8.00, 18.00
2024_07_06 - 12:39:36 PM, 26.12, 29.87, 888.67, 560.99, 1.83, 0.00, 6.00, 16.00
2024_07_06 - 12:40:36 PM, 26.15, 29.98, 888.64, 561.35, 1.98, 0.00, 8.00, 18.00
2024_07_06 - 12:41:36 PM, 26.03, 30.15, 888.59, 889.01, 2.05, 2.00, 10.00, 20.00
2024_07_06 - 12:42:37 PM, 26.09, 30.04, 888.67, 849.53, 2.09, 2.00, 12.00, 22.00
2024_07_06 - 12:43:37 PM, 26.09, 30.04, 888.69, 849.53, 2.13, 2.00, 12.00, 22.00
2024_07_06 - 12:44:38 PM, 26.09, 30.04, 888.67, 849.53, 2.20, 0.00, 4.00, 16.00
2024_07_06 - 12:45:38 PM, 25.72, 30.54, 888.67, 736.03, 2.23, 2.00, 8.00, 18.00
2024_07_06 - 12:46:39 PM, 26.00, 30.23, 888.68, 659.69, 2.24, 2.00, 8.00, 18.00
2024_07_06 - 12:47:39 PM, 26.05, 30.26, 888.68, 590.83, 2.21, 0.00, 6.00, 16.00
2024_07_06 - 12:48:39 PM, 26.08, 30.12, 888.68, 575.70, 2.35, 0.00, 6.00, 16.00
2024_07_06 - 12:49:40 PM, 26.15, 29.73, 888.67, 577.70, 2.41, 2.00, 8.00, 18.00
2024_07_06 - 12:50:40 PM, 26.17, 29.60, 888.69, 568.29, 2.45, 0.00, 10.00, 20.00
